T,TM,Tm,H,VV,V,PM2.5
14.7,21.0,10.0,76,0.6,3.0,143.0
14.4,15.0,13.0,91,1.4,6.1,319.0
14.0,17.0,11.0,91,0.6,4.8,325.0
9.1,12.0,6.0,91,0.5,6.7,375.0
8.4,10.0,7.0,95,0.5,5.7,376.0
9.7,15.0,7.0,89,0.8,5.9,379.0
11.7,17.0,6.0,83,0.8,10.9,340.0
11.3,15.0,6.0,89,0.8,9.4,356.0
10.7,18.0,5.0,84,0.5,4.3,360.0
12.9,19.0,9.0,81,0.8,7.6,338.0
13.5,17.0,11.0,85,1.1,11.3,332.0
13.3,17.0,10.0,84,1.3,11.7,254.0
11.9,17.0,9.0,88,1.0,7.6,318.0
13.1,15.0,11.0,88,0.8,4.1,295.0
11.8,17.0,8.0,84,0.8,10.7,327.0
13.0,20.0,6.0,70,1.9,7.2,349.0
15.7,22.0,9.0,68,1.6,9.8,334.0
17.3,23.0,12.0,70,1.8,15.6,313.0
15.6,22.0,10.0,82,1.4,13.5,262.0
17.1,24.0,10.0,58,1.9,3.7,266.0
17.4,23.0,11.0,53,2.3,8.9,319.0
16.8,24.0,10.0,62,2.1,10.0,334.0
17.3,25.0,9.0,55,2.6,8.0,391.0
20.5,27.0,12.0,52,2.6,8.1,358.0
19.4,27.0,12.0,60,1.4,7.0,327.0
24.1,29.0,20.0,66,1.9,15.9,320.0
22.8,29.0,18.0,63,1.9,10.2,279.0
21.3,27.0,16.0,59,2.3,13.0,281.0
22.7,28.0,16.0,58,2.1,10.4,315.0
19.6,27.0,14.0,36,2.7,9.4,310.0
19.7,27.0,12.0,38,2.9,9.1,324.0
16.9,19.0,15.0,94,2.3,17.6,266.0
17.0,22.0,14.0,84,2.3,9.1,200.0
16.4,21.0,12.0,77,1.9,8.7,275.0
18.3,26.0,14.0,73,2.4,7.0,197.0
19.2,24.0,15.0,70,3.1,12.8,238.0
17.3,23.0,10.0,51,3.2,14.1,274.0
22.4,28.0,15.0,48,1.6,6.3,165.0
21.2,27.0,17.0,63,2.9,9.4,188.0
17.0,20.0,15.0,77,3.1,12.0,217.0
21.2,29.0,15.0,55,2.9,6.9,248.0
22.8,30.0,15.0,51,2.7,7.4,204.0
24.9,31.0,17.0,51,2.9,11.1,271.0
28.0,34.0,21.0,48,2.3,5.7,287.0
28.8,36.0,20.0,43,2.6,9.4,323.0
28.7,35.0,21.0,39,3.5,9.3,360.0
25.2,31.0,20.0,61,2.7,7.6,249.0
27.5,33.0,20.0,48,2.9,8.3,245.0
27.3,34.0,20.0,46,3.4,12.6,229.0
24.2,29.0,18.0,71,4.0,10.6,234.0
23.3,29.0,20.0,62,3.1,9.3,293.0
27.1,33.0,20.0,41,3.2,9.4,290.0
26.0,32.0,19.0,44,3.2,9.6,375.0
25.2,30.0,19.0,59,3.2,10.7,316.0
26.7,32.0,22.0,53,2.9,8.0,295.0
27.9,34.0,22.0,52,2.7,8.3,246.0
33.3,41.0,22.0,29,2.4,6.3,391.0
33.3,39.0,26.0,32,2.4,11.1,368.0
31.6,39.0,24.0,28,2.9,9.6,365.0
30.9,36.0,25.0,34,2.1,16.9,258.0
28.9,33.0,24.0,43,2.7,16.7,234.0
31.1,37.0,25.0,41,2.7,17.2,257.0
31.5,39.0,24.0,36,3.5,9.8,372.0
31.3,39.0,24.0,30,3.2,6.1,387.0
31.6,41.0,23.0,26,2.4,5.7,408.0
35.3,43.0,27.0,16,2.9,12.2,378.0
34.7,43.0,27.0,19,2.4,8.7,381.0
35.9,42.0,27.0,19,2.6,7.4,388.0
26.9,34.0,23.0,60,2.9,10.2,396.0
31.0,37.0,24.0,43,2.9,5.7,297.0
29.0,37.0,23.0,49,2.6,7.8,345.0
31.6,42.0,23.0,40,2.7,12.4,352.0
33.4,43.0,22.0,31,2.6,12.2,338.0
36.1,45.0,28.0,24,2.9,10.0,321.0
38.8,45.0,31.0,14,2.6,11.9,355.0
37.9,46.0,28.0,14,3.1,12.2,371.0
36.2,44.0,27.0,13,2.7,9.6,414.0
35.5,41.0,28.0,22,2.6,15.4,297.0
30.7,36.0,27.0,32,2.7,13.9,268.0
31.7,41.0,26.0,33,2.9,10.4,259.0
28.1,33.0,24.0,51,2.9,12.4,327.0
36.7,43.0,30.0,28,3.4,7.6,442.0
38.1,44.0,30.0,22,3.5,7.6,309.0
37.1,43.0,32.0,26,3.1,16.3,270.0
30.2,39.0,24.0,52,2.6,14.1,234.0
27.3,33.0,22.0,72,2.4,7.4,331.0
31.6,37.0,27.0,57,2.4,5.9,327.0
36.7,42.0,32.0,43,3.2,12.6,149.0
33.3,38.0,29.0,48,3.4,15.4,172.0
30.1,35.0,25.0,67,3.4,13.3,226.0
