"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2018","170","PM2.5","Bakersfield-California","06-029-0014","AQS","13","49","81","170","45"
"01/02/2018","174","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","13","44","102","174","42"
"01/03/2018","173","PM2.5","Bakersfield-California","06-029-0014","AQS","15","41","109","173","48"
"01/04/2018","164","PM2.5","Bakersfield-California","06-029-0014","AQS","8","41","79","164","46"
"01/05/2018","107","PM2.5","Bakersfield-Airport (Planz)","06-029-0016","AQS","9","36","55","107","37"
"01/06/2018","79","PM2.5","Bakersfield-California","06-029-0014","AQS","6","33","36","79","34"
"01/07/2018","80","PM2.5","Bakersfield-California","06-029-0014","AQS","5","35","33","80","25"
"01/08/2018","76","PM2.5","Bakersfield-California","06-029-0014","AQS","6","29","37","76","23"
"01/09/2018","40","Ozone","Mojave","06-029-0011","AQS","3","40","9","15","27"
"01/10/2018","40","PM2.5","Bakersfield-California","06-029-0014","AQS","5","38","15","40","20"
"01/11/2018","76","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","7","35","28","76","29"
"01/12/2018","79","PM2.5","Bakersfield-California","06-029-0014","AQS","6","35","35","79","23"
"01/13/2018","83","PM2.5","Bakersfield-California","06-029-0014","AQS","5","39","32","83","17"
"01/14/2018","92","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","7","37","33","92","22"
"01/15/2018","107","PM2.5","Bakersfield-California","06-029-0014","AQS","10","31","56","107","33"
"01/16/2018","99","PM2.5","Bakersfield-California","06-029-0014","AQS","10","32","48","99","29"
"01/17/2018","106","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","6","33","41","106","21"
"01/18/2018","93","PM2.5","Bakersfield-California","06-029-0014","AQS","8","35","38","93","28"
"01/19/2018","49","PM2.5","Bakersfield-California","06-029-0014","AQS","8","38","18","49","25"
"01/20/2018","58","PM2.5","Bakersfield-California","06-029-0014","AQS","5","38","23","58","30"
"01/21/2018","65","PM2.5","Bakersfield-California","06-029-0014","AQS","7","38","19","65","31"
"01/22/2018","62","PM2.5","Bakersfield-California","06-029-0014","AQS","7","36","28","62","38"
"01/23/2018","82","PM2.5","Bakersfield-California","06-029-0014","AQS","6","35","38","82","41"
"01/24/2018","93","PM2.5","Bakersfield-California","06-029-0014","AQS","7","35","44","93","39"
"01/25/2018","55","PM2.5","Bakersfield-California","06-029-0014","AQS","7","38","20","55","32"
"01/26/2018","74","PM2.5","Bakersfield-California","06-029-0014","AQS","7","41","32","74","38"
"01/27/2018","84","PM2.5","Bakersfield-California","06-029-0014","AQS","6","39","31","84","34"
"01/28/2018","98","PM2.5","Bakersfield-California","06-029-0014","AQS","6","43","40","98","35"
"01/29/2018","123","PM2.5","Bakersfield-California","06-029-0014","AQS","6","44","56","123","37"
"01/30/2018","141","PM2.5","Bakersfield-California","06-029-0014","AQS","5","41","66","141","42"
"01/31/2018","152","PM2.5","Bakersfield-California","06-029-0014","AQS","6","51","69","152","45"
"02/01/2018","150","PM2.5","Bakersfield-California","06-029-0014","AQS","6","49","68","150","39"
"02/02/2018","142","PM2.5","Bakersfield-California","06-029-0014","AQS","6","49","69","142","44"
"02/03/2018","155","PM2.5","Bakersfield-California","06-029-0014","AQS","6","67","66","155","40"
"02/04/2018","152","PM2.5","Bakersfield-California","06-029-0014","AQS","7","77","59","152","45"
"02/05/2018","147","PM2.5","Bakersfield-California","06-029-0014","AQS","7","80","64","147","44"
"02/06/2018","122","PM2.5","Bakersfield-California","06-029-0014","AQS","7","50","69","122","37"
"02/07/2018","81","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","6","46","56","81","41"
"02/08/2018","83","PM2.5","Bakersfield-California","06-029-0014","AQS","5","64","64","83","46"
"02/09/2018","86","PM2.5","Bakersfield-California","06-029-0014","AQS","6","77","60","86","43"
"02/10/2018","77","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","6","50","60","77","39"
"02/11/2018","77","PM10","Ridgecrest-Ward","06-029-0018","AQS","5","43","77","58","29"
"02/12/2018","40","Ozone","Mojave","06-029-0011","AQS","3","40","34","27","23"
"02/13/2018","54","PM2.5","Bakersfield-Golden/M St","06-029-0010","AQS","3","41","46","54","15"
